FIRST_LAST
Tyrion Lannister
Jon Snow
Arya Stark
Daenerys Targaryen
Catelyn Stark
Sansa Stark
Bran Stark
Jaime Lannister
Eddard Stark
Theon Greyjoy
Davos Seaworth
Cersei Lannister
Samwell Tarly
Brienne of Tarth
Aeron Greyjoy
Asha Greyjoy
Melisandre
Victarion Greyjoy
Quentyn Martell
Joffrey Baratheon
Jorah Mormont
Petyr Baelish
Varys
Roose Bolton
Stannis Baratheon
Tywin Lannister
Margaery Tyrell
Daario Naharis
